movieTitle,actor,profit,rating
Switchback,"Claudia Stedelin",-31495558,6
"Girl, Interrupted","Clea DuVall",4871190,7.6
"The Faculty","Clea DuVall",25283321,6.3
"Blazing Saddles","Cleavon Little",116900000,7.3
"The Life of David Gale","Cleo King",-21079812,7.4
Malone,"Cliff Robertson",-7000000,6.5
Stung,"Clifton Collins Jr.",-2500000,5.1
Bones,"Clifton Powell",-1621147,4.3
"Million Dollar Baby","Clint Eastwood",201928227,7.9
"Absolute Power","Clint Eastwood",68310,6.6
"Pale Rider","Clint Eastwood",34510568,7.1
"Paint Your Wagon","Clint Eastwood",11678778,6.4
"Escape from Alcatraz","Clint Eastwood",35000000,7.5
"The Mule","Clint Eastwood",120738684,6.5
"The Bourne Identity","Clive Owen",154357371,7.4
"Killer Elite","Clive Owen",-4590954,6.2
Beerfest,"Cloris Leachman",2659316,5.8
Spanglish,"Cloris Leachman",-20655679,5.9
"Five Feet Apart","Cole Sprouse",79881234,8.2
Daredevil,"Colin Farrell",102782518,5.1
"The New World","Colin Farrell",-3815600,6.5
"Punisher: War Zone","Colin Salmon",-24842466,5.7
"The Animal","Colleen Haskell",33762229,4.7
"Just Wright",Common,9867665,6.2
"Walk Hard: The Dewey Cox Story","Conner Rayburn",-14393947,6.5
"Heaven is for Real","Connor Corum",88916299,6.3
"World Trade Center","Connor Paolo",98295654,6
"The Life of David Gale","Constance Jones",-21079812,7.4
"Doug's 1st Movie","Constance Shulman",14421271,5.4
"Catch That Kid","Corbin Bleu",-1040386,5.3
"The Lost Boys","Corey Haim",23722567,6.9
Decoys,"Corey Sevier",-4903240,4.9
"Cop Out","Cory Fernandez",18909910,5.4
"Antwone Fisher","Cory Hodges",10867586,6.9
"Monte Carlo","Cory Monteith",19686769,6.3
Zoom,"Courteney Cox",-22493812,5.1
"Dickie Roberts: Former Child Star","Craig Bierko",6734486,5.2
"Nancy Drew","Craig Gellis",10703845,5.7
"The First Time","Craig Roberts",-1982939,7
Poltergeist,"Craig T. Nelson",111006019,7.1
"A Nightmare on Elm Street 3: Dream Warriors","Craig Wasson",39793222,6.6
Willard,"Crispin Glover",-13117304,5.9
"Conspiracy Theory","Cylk Cozart",62783718,6.5
Malone,"Cynthia Gibb",-7000000,6.5
"Agent Cody Banks 2: Destination London","Cynthia Stevenson",2703083,5.1
"Rocket Singh: Salesman of the Year","D. Santosh",4278767,6.8
Venom,"D.J. Cotrona",-24118255,4.9
"Modern Problems","Dabney Coleman",16474312,5.3
"The Cat in the Hat","Dakota Fanning",24818283,5.1
"Pet Sematary","Dale Midkiff",45969179,6.5
Ghostbusters,"Dan Aykroyd",265212467,7.4
"Sgt. Bilko","Dan Aykroyd",-1043411,5.7
"My Girl","Dan Aykroyd",41511485,7.1
"Action Point","Dan Bakkedahl",-13896325,5.2
"Hey Arnold! The Movie","Dan Castellaneta",3684949,5.6
"Take Me Home Tonight","Dan Fogler",-11423396,6
"Love Happens","Dan Fogler",18133014,5.9
"Club Dread","Dan Montgomery Jr.",-926449,5.1
RoboCop,"Dan O'Herlihy",40424681,7.2
"The Master of Disguise","Dana Carvey",24363530,3.6
"Wayne's World","Dana Carvey",163097323,6.6
"Across the Universe","Dana Fuchs",-15632857,7.3
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Dana Snyder",4770368,6.4
"Reindeer Games","Dana Stubblefield",-12639221,5.5
Torque,"Dane Cook",6176322,4.7
"My Best Friend's Girl","Dane Cook",14787111,5.6
"Premium Rush","Dania Ramirez",-3606799,6.2
Rush,"Daniel Brühl",60230839,7.7
Munich,"Daniel Craig",56492772,7.1
"The Last of the Mohicans","Daniel Day-Lewis",35505856,7.3
"The Age of Innocence","Daniel Day-Lewis",-1985007,7
"The Ballad of Jack and Rose","Daniel Day-Lewis",-373742,6.4
"Patch Adams","Daniel London",152173000,7.2
"The Nutcracker in 3D","Dániel Mogács",-69533984,5.5
"Swiss Army Man","Daniel Radcliffe",2837111,6.9
"Spirit: Stallion of the Cimarron","Daniel Studi",26515310,7.6
"Patti Cake$","Danielle Macdonald",471090,7
"Sky High","Danielle Panabaker",48109359,6
"The Crazies","Danielle Panabaker",37445534,6.2
"City Hall","Danny Aiello",-19721945,6.1
"Harlem Nights","Danny Aiello",65857262,6
"Reno 911!: Miami","Danny DeVito",11851362,5.8
Screwed,"Danny DeVito",-5017320,5.5
"Renaissance Man","Danny DeVito",-15827101,6.1
"Flight of the Intruder","Danny Glover",-20528560,5.7
"Almost Christmas","Danny Glover",25493506,5.6
"The Number 23","Danny Huston",45593167,6.4
"The Constant Gardener","Danny Huston",60801599,7.1
"Hot Rod","Danny McBride",-10665599,6.3
"Your Highness","Danny McBride",-23878362,5.3
"Land of the Lost","Danny McBride",-30451359,5.4
"Nacho Libre","Darius Rose",67296462,5.6
"Riding Giants","Darrick Doerner",692333,8
"Son of God","Darwin Shaw",48949793,6.4
"Act of Valor",Dave,70497035,6.3
"Blue Streak","Dave Chappelle",81448157,6.3
Screwed,"Dave Chappelle",-5017320,5.5
"Because of Winn-Dixie","Dave Matthews",18508485,6.2
"Aqua Teen Hunger Force Colon Movie Film for Theaters","Dave Willis",4770368,6.4
"Cast Away","David Allen Brooks",342230516,7.6
"Wyatt Earp","David Andrews",-37948000,6.6
"Eight Legged Freaks","David Arquette",6722311,5.4
"See Spot Run","David Arquette",27057552,4.8
Gigli,"David Backus",-46873998,3.6
"Lone Wolf McQuade","David Carradine",7232628,6
"Out Cold","David Denman",3786394,5.8
Evolution,"David Duchovny",18341932,5.9
"Return to Me","David Duchovny",8662299,6.3
"Crocodile Dundee","David Gulpilil",319403506,6.3
"Office Space","David Herman",2179708,7.4
"Friday the 13th Part VI: Jason Lives","David Kagen",16472057,5.9
Firestarter,"David Keith",136870,6.1
Waiting...,"David Koechner",17548274,6.3
"The Negotiator","David Morse",-894234,7
"Extreme Measures","David Morse",-20621807,5.9
"Final Destination 2","David Paetkau",64396664,6.1
Payback,"David Paymer",111626121,6.8
"Dickie Roberts: Former Child Star","David Spade",6734486,5.2
Twisted,"David Strathairn",-9880152,5.3
"The Bourne Ultimatum","David Strathairn",314043396,7.4
Primer,"David Sullivan",834926,6.9
"The Island of Dr. Moreau","David Thewlis",-12317288,4.6
Tron,"David Warner",9918576,6.7
"The Ballad of Cable Hogue","David Warner",1283054,7.1
"Miss Sloane","David Wilson Barnes",-10280370,7.5
Plush,"Dawn Olivieri",-1971136,5.8
"Get on the Bus","De'aundre Bonds",3291854,7.3
"Never Back Down 2: The Beatdown","Dean Geyer",-3000000,6
Videodrome,"Debbie Harry",-3831561,7.3
"The Tuxedo","Debi Mazar",44429625,5.5
"April Fool's Day","Deborah Foreman",7947763,5.7
"The Game","Deborah Kara Unger",30369970,7.6
"The Wedding Date","Debra Messing",32175038,6.5
"The Women","Debra Messing",34103808,4.9
"Star Trek V: The Final Frontier","DeForest Kelley",40200000,5.7
"The One","Delroy Lindo",23689126,5.9
"A Few Good Men","Demi Moore",203500000,7.4
"A Better Life","Demián Bichir",-8115749,7.1
"The Thomas Crown Affair","Denis Leary",76304264,6.7
"Pet Sematary","Denise Crosby",45969179,6.5
"Starship Troopers","Denise Richards",21100000,6.8
Empire,"Denise Richards",14995444,6.4
"Super Mario Bros.","Dennis Hopper",-21155093,4.1
"Inside Deep Throat","Dennis Hopper",-1308120,6.7
"The Net","Dennis Miller",88521733,5.8
"The Intruder","Dennis Quaid",28371584,6.4
"Soul Surfer","Dennis Quaid",29158652,7
"Wyatt Earp","Dennis Quaid",-37948000,6.6
"In Good Company","Dennis Quaid",37489752,5.9
"Flight of the Phoenix","Dennis Quaid",-40990820,5.9
Fences,"Denzel Washington",40282881,6.8
"Remember the Titans","Denzel Washington",106706683,7.6
"Antwone Fisher","Denzel Washington",10867586,6.9
"Malcolm X","Denzel Washington",13169910,7.5
"Mo' Better Blues","Denzel Washington",6153000,6.5
Virtuosity,"Denzel Washington",-6001774,5.5
"Ghost Town","Dequina Moore",9958228,6.4
"The Other Guys","Derek Jeter",70936470,6.2
"Friday Night Lights","Derek Luke",31950770,6.9
"Antwone Fisher","Derek Luke",10867586,6.9
Hostel,"Derek Richardson",77441110,5.8
"The Wedding Date","Dermot Mulroney",32175038,6.5
Jobs,"Dermot Mulroney",25402515,6.1
"Georgia Rule","Dermot Mulroney",819601,5.8
Turistas,"Desmond Askew",4321070,5.3
"Sin City","Devon Aoki",118527918,7.4
War,"Devon Aoki",15686409,6.1
"Diary of a Wimpy Kid: Rodrick Rules","Devon Bostick",55695194,6.4
"13 Sins","Devon Graye",-3952448,6.3
"Extreme Ops","Devon Sawa",-27375529,4.7
"Final Destination","Devon Sawa",89036870,6.5
"The Wiz","Diana Ross",-2000000,5.8
"Mommie Dearest","Diana Scarwid",20032000,6.6
"The Net","Diane Baker",88521733,5.8
Sleeper,"Diane Keaton",16344729,7.1
"Something's Gotta Give","Diane Keaton",186685242,6.5
"Because I Said So","Diane Keaton",30538833,6
"Book Club","Diane Keaton",81310059,6.1
"Wicker Park","Diane Kruger",-8422924,6.7
"The Jackal","Diane Venora",99356941,6.2
"The Family","Dianna Agron",21078541,6.2
"Practical Magic","Dianne Wiest",8336997,6.5
Footloose,"Dianne Wiest",71800000,6.6
"The Lost Boys","Dianne Wiest",23722567,6.9
"The Country Bears","Diedrich Bader",-3011004,4.4
Milk,"Diego Luna",37293371,7.3
"Starship Troopers","Dina Meyer",21100000,6.8
"Just Like Heaven","Dina Spybey-Waters",42687083,6.8
"Son of God","Diogo Morgado",48949793,6.4
"Rugrats Go Wild","Dionne Quan",30443032,5.6
"Cradle 2 the Grave",DMX,31434942,5.8
Belly,DMX,6639390,6
"The Best Little Whorehouse in Texas","Dolly Parton",49201637,6
"Can You Ever Forgive Me?","Dolly Wells",1752387,6.9
"The Best Little Whorehouse in Texas","Dom DeLuise",49201637,6
"Creepshow 2","Domenick John",10500000,6.1
"The Revenant","Domhnall Gleeson",397938302,7.4
Unbroken,"Domhnall Gleeson",98527824,7.4
"Killer Elite","Dominic Purcell",-4590954,6.2
Equilibrium,"Dominic Purcell",-14654131,7
"Blade: Trinity","Dominic Purcell",66353165,5.7
"Punisher: War Zone","Dominic West",-24842466,5.7
Poltergeist,"Dominique Dunne",111006019,7.1
"Friday After Next","Don 'D.C.' Curry",23526835,6.1
"Alexander's Ragtime Band","Don Ameche",2000000,6.7
"Hotel for Dogs","Don Cheadle",87357172,5.9
Volcano,"Don Cheadle",30100000,5.5
"Kevin Hart: What Now?","Don Cheadle",13591043,6.6
"After the Sunset","Don Cheadle",-18670886,6.2
"Heavy Metal","Don Francks",10271091,6.3
"Bucky Larson: Born to Be a Star","Don Johnson",-7470605,4.2
"Chicken Little","Don Knotts",160043823,5.8
"Just Like Heaven","Donal Logue",42687083,6.8
"How Green Was My Valley","Donald Crisp",-1250000,7.3
"Ordinary People","Donald Sutherland",46302978,7.6
Tangled,"Donna Murphy",326477240,7.5
Sheena,"Donovan Scott",-19221647,5.2
"Punisher: War Zone","Doug Hutchison",-24842466,5.7
"Hellboy II: The Golden Army","Doug Jones",77888063,6.7
"Spaced Invaders","Douglas Barr",12000000,4.7
Hitman,"Dougray Scott",75135571,5.9
"Dark Water","Dougray Scott",-10526907,5.4
"Charlie's Angels: Full Throttle","Drew Barrymore",107200000,5.4
Firestarter,"Drew Barrymore",136870,6.1
"50 First Dates","Drew Barrymore",121320329,6.7
Duplex,"Drew Barrymore",-29929349,6.1
"Night of the Living Dead","Duane Jones",29973064,7.7
Ishtar,"Dustin Hoffman",-25624819,4.4
"Midnight Cowboy","Dustin Hoffman",41185053,7.6
"Mad City","Dustin Hoffman",-39438962,6.1
Hook,"Dustin Hoffman",230854823,6.8
"Shark Night 3D","Dustin Milligan",-6122847,5
Happiness,"Dylan Baker",2746453,7.5
"Simply Irresistible","Dylan Baker",-1601011,5.2
"Head of State","Dylan Baker",3083765,5.5
"Along Came a Spider","Dylan Baker",77159085,6.3
"Three to Tango","Dylan McDermott",-9429625,5.6
"The First Time","Dylan O'Brien",-1982939,7
"The Stepfather","Dylan Walsh",9227561,5.7
Congo,"Dylan Walsh",102022333,5.2
"Unaccompanied Minors","Dyllan Christopher",-3029169,5.8
"Graduation Day","E. Danny Murphy",23644000,5
"Graduation Day","E.J. Peaker",23644000,5
"The Messenger","Eamonn Walker",-4755048,6.7
"Renaissance Man","Ed Begley Jr.",-15827101,6.1
Stepmom,"Ed Harris",109745279,7
"Absolute Power","Ed Harris",68310,6.6
"Eye for an Eye","Ed Harris",6792700,6
"The Abyss","Ed Harris",-15756875,7.2
"Kevin Hart: What Now?","Ed Helms",13591043,6.6
"Lucky Numbers","Ed O'Neill",-54985766,4.9
"A Better Life","Eddie 'Piolin' Sotelo",-8115749,7.1
"Date Movie","Eddie Griffin",65146165,3.8
"American Wedding","Eddie Kaye Thomas",71425115,6.1
"The Golden Child","Eddie Murphy",67817937,5.7
"Harlem Nights","Eddie Murphy",65857262,6
"My Week with Marilyn","Eddie Redmayne",24240572,6.7
"Hands of Stone","Edgar Ramírez",-14968025,6.1
"The Trouble with Harry","Edmund Gwenn",5800000,7
"The Animal","Edward Asner",33762229,4.7
"Saving Private Ryan","Edward Burns",420035085,8.1
"One Missed Call","Edward Burns",24513466,4.8
"Top Hat","Edward Everett Horton",2593000,7.7
"The Illusionist","Edward Norton",67292062,7.2
"Fight Club","Edward Norton",35851705,8.4
"Master and Commander: The Far Side of the World","Edward Woodall",77912137,7.1
Duplex,"Eileen Essell",-29929349,6.1
"The Core","Eileen Pedde",-10879208,5.6
"Anywhere But Here","Eileen Ryan",-4346385,6.2
"Baby Driver","Eiza González",194104185,7.4
Screwed,"Elaine Stritch",-5017320,5.5
"Autumn in New York","Elaine Stritch",50717684,6
"The Battle of Shaker Heights","Elden Henson",-160855,5.8
"Action Point","Eleanor Worthington-Cox",-13896325,5.2
"Club Dread","Elena Lyons",-926449,5.1
"Escape from Tomorrow","Elena Schuber",-478038,4.8
Race,"Eli Goree",18745772,7.3
Decoys,"Elias Toufexis",-4903240,4.9
"Leaving Las Vegas","Elisabeth Shue",45800000,7.2
"Death Wish","Elisabeth Shue",18575965,5.9
"The Karate Kid","Elisabeth Shue",82815558,7
"Money Talks","Elise Neal",16076865,5.9
"City By The Sea","Eliza Dushku",-17566085,5.8
"Donovan's Reef","Elizabeth Allen",3914000,6.4
"Swept Away","Elizabeth Banks",-9401355,4.6
"People Like Us","Elizabeth Banks",-3382528,6.8
"Rugrats Go Wild","Elizabeth Daily",30443032,5.6
"Austin Powers: International Man of Mystery","Elizabeth Hurley",49683989,6.5
Sheena,"Elizabeth of Toro",-19221647,5.2
"Lone Star","Elizabeth Peña",7961389,7.1
"Cats & Dogs","Elizabeth Perkins",140700000,5.2
"Live by Night","Elle Fanning",-43225568,6.2
"Requiem for a Dream","Ellen Burstyn",2889233,8
"The Love Letter","Ellen DeGeneres",-5989020,5.6
"Little Shop of Horrors","Ellen Greene",8747385,6.8
"Dead Like Me: Life After Death","Ellen Muth",-5000000,5.8
Juno,"Ellen Page",224450102,7
"The Woman in Black","Ellisa Walker-Reid",113955898,6.1
"The Emperor's Club","Embeth Davidtz",3693713,7
Beloved,"Emil Pinnock",-30147513,5.6
"The Emperor's Club","Emile Hirsch",3693713,7
Milk,"Emile Hirsch",37293371,7.3
Plush,"Emily Browning",-1971136,5.8
Boogeyman,"Emily Deschanel",47192859,4.8
"The Kid","Emily Mortimer",4688384,6.2
"War Horse","Emily Watson",86815529,7.2
"Darkness Falls","Emma Caulfield Ford",40289758,5.2
Doomsday,"Emma Cleasby",-11378812,5.8
"The Favourite","Emma Delves",79075194,7.6
"Hotel for Dogs","Emma Roberts",87357172,5.9
"Nancy Drew","Emma Roberts",10703845,5.7
Aquamarine,"Emma Roberts",10978953,5.9
"The Woman in Black","Emma Shorey",113955898,6.1
"Mad Hot Ballroom","Emma Therese Biegacki",8887581,7.3
"The Remains of the Day","Emma Thompson",48954968,7.6
"Howards End","Emma Thompson",18317943,7.2
Munich,"Eric Bana",56492772,7.1
"Black Hawk Down","Eric Bana",64691085,7.3
"Funny People","Eric Bana",-619695,5.7
"The Back-Up Plan","Eric Christian Olsen",40281179,6
"Marley & Me","Eric Dane",187812011,7.2
"Dudley Do-Right","Eric Idle",-12181208,3.7
"The Last of the Mohicans","Eric Schweig",35505856,7.3
"The Ugly Truth","Eric Winter",167298907,6.5
"Top Hat","Erik Rhodes",2593000,7.7
Beerfest,"Erik Stolhanske",2659316,5.8
"A Bridge Too Far","Erik van 't Wout",24800000,7.2
Swimfan,"Erika Christensen",24084228,5
Fireproof,"Erin Bethea",32973297,7
"The Watcher","Ernie Hudson",14267829,5.1
Congo,"Ernie Hudson",102022333,5.2
"Dead Poets Society","Ethan Hawke",223100000,8.3
"Alexander's Ragtime Band","Ethel Merman",2000000,6.7
"Down to Earth","Eugene Levy",41172251,5.2
"New York Minute","Eugene Levy",-18784118,5.8
"Bringing Down the House","Eugene Levy",144675402,5.6
"Cheaper by the Dozen 2","Eugene Levy",75015330,5.9
"Mad Hot Ballroom","Eva Carrozza",8887581,7.3
"The Other Guys","Eva Mendes",70936470,6.2
"The Women","Eva Mendes",34103808,4.9
"Across the Universe","Evan Rachel Wood",-15632857,7.3
"The Missing","Evan Rachel Wood",-26746567,6.3
"Mad Hot Ballroom","Evangelina Carrozzo",8887581,7.3
"Black Hawk Down","Ewan McGregor",64691085,7.3
Hostel,"Eythor Gudjonsson",77441110,5.8
"Deuces Wild","Fairuza Balk",-3755382,5.5
"Return to Oz","Fairuza Balk",-16381187,6.6
"The Island of Dr. Moreau","Fairuza Balk",-12317288,4.6
"Welcome to Marwen","Falk Hentschel",-32080529,6.5
Made,"Famke Janssen",476060,6.2
"The Wackness","Famke Janssen",-2669988,6.4
"The Favourite","Faye Daveney",79075194,7.6
"Mommie Dearest","Faye Dunaway",20032000,6.6
"Georgia Rule","Felicity Huffman",819601,5.8
"On the Basis of Sex","Felicity Jones",18803610,7.5
"The Nutcracker in 3D","Fernanda Dorogi",-69533984,5.5
"The French Connection","Fernando Rey",38958757,7.6
"Out Cold","Flex Alexander",3786394,5.8
Phenomenon,"Forest Whitaker",120036382,6.3
Species,"Forest Whitaker",78354449,5.7
Platoon,"Forest Whitaker",131978395,7.7
"Our Family Wedding","Forest Whitaker",7410546,5.4
"City By The Sea","Frances McDormand",-17566085,5.8
"Almost Famous","Frances McDormand",-12628809,7.5
"Something's Gotta Give","Frances McDormand",186685242,6.5
Dune,"Francesca Annis",-17552529,6.4
"Hey Arnold! The Movie","Francesca Marie Smith",3684949,5.6
"Our Idiot Brother","Francesca Papalia",20861249,6.1
"The Passion of the Christ","Francesco De Vito",597341924,7.1
Sorcerer,"Francisco Rabal",-9594032,7.5
"Close Encounters of the Third Kind","François Truffaut",320800479,7.3
"Alone in the Dark","Frank C. Turner",-9411921,3.2
Lifeforce,"Frank Finlay",-13396455,6.3
"All Good Things","Frank Langella",-19126383,6
"Cutthroat Island","Frank Langella",-73482678,5.8
"Tim and Eric's Billion Dollar Movie","Frank Slaten",-2776348,5.7
"The Doors","Frank Whaley",-5583107,6.9
"The Bourne Supremacy","Franka Potente",226001124,7.3
"The Bourne Identity","Franka Potente",154357371,7.4
"Agent Cody Banks 2: Destination London","Frankie Muniz",2703083,5.1
"Big Fat Liar","Frankie Muniz",37461017,5.7
"Top Hat","Fred Astaire",2593000,7.7
"Pet Sematary","Fred Gwynne",45969179,6.5
"A Serious Man","Fred Melamed",23360570,6.7
"Doug's 1st Movie","Fred Newman",14421271,5.4
"Chain Reaction","Fred Ward",5209334,5.5
"August Rush","Freddie Highmore",40882103,7.3
Firestarter,"Freddie Jones",136870,6.1
"Head Over Heels","Freddie Prinze Jr.",-3602635,5.6
"I Still Know What You Did Last Summer","Freddie Prinze Jr.",16020622,5.2
"Down to You","Freddie Prinze Jr.",11035310,5
"Home on the Range","G.W. Bailey",-33517539,5.9
"Little Women","Gabriel Byrne",35003303,7.2
"Vanity Fair","Gabriel Byrne",-3876149,5.7
"Because I Said So","Gabriel Macht",30538833,6
"Two Can Play That Game","Gabrielle Union",9391450,6.5
"Bad Boys II","Gabrielle Union",143271982,6.4
"Top Five","Gabrielle Union",14001741,6.2
"Almost Christmas","Gabrielle Union",25493506,5.6
Volcano,"Gaby Hoffmann",30100000,5.5
"Obvious Child","Gaby Hoffmann",2324070,6.7
"Letters to Juliet","Gael García Bernal",52148538,6.9
Edtv,"Gail Boggs",-24680311,6
"Friday Night Lights","Garrett Hedlund",31950770,6.9
"Death Sentence","Garrett Hedlund",-3092169,6.5
Unbroken,"Garrett Hedlund",98527824,7.4
"Chicken Little","Garry Marshall",160043823,5.8
"Point Break","Gary Busey",59531958,7.1
"United 93","Gary Commock",59635035,7.1
"The Bodyguard","Gary Kemp",385899039,6.5
"Red Riding Hood","Gary Oldman",49678442,5.9
"Darkest Hour","Gary Oldman",120807172,7.3
"The Unborn","Gary Oldman",62208812,5
"Meet the Blacks","Gary Owen",8197072,4.3
Joe,"Gary Poulter",-3626625,6.6
"Stuart Little 2","Geena Davis",46000000,5.6
"Cutthroat Island","Geena Davis",-73482678,5.8
"Bridget Jones's Diary","Gemma Jones",256527158,6.7
"Hope Floats","Gena Rowlands",51529000,6.1
"The French Connection","Gene Hackman",38958757,7.6
"Wyatt Earp","Gene Hackman",-37948000,6.6
"Absolute Power","Gene Hackman",68310,6.6
Twilight,"Gene Hackman",-4944909,6.1
"Extreme Measures","Gene Hackman",-20621807,5.9
"Blazing Saddles","Gene Wilder",116900000,7.3
"A Man Apart","Geno Silva",7797731,5.9
Edtv,"Geoffrey Blake",-24680311,6
"Shakespeare in Love","Geoffrey Rush",253500000,6.9
Quills,"Geoffrey Rush",-1767912,6.9
"The Hustler","George C. Scott",5600000,7.8
"Hail, Caesar!","George Clooney",42160680,5.9
"Ocean's Eleven","George Clooney",365728529,7.3
"The Peacemaker","George Clooney",12967368,5.8
Solaris,"George Clooney",-32029962,6
"8 Heads in a Duffel Bag","George Hamilton",1002884,5.1
"Creepshow 2","George Kennedy",10500000,6.1
"The Mirror Has Two Faces","George Segal",-732531,6.8
"Clay Pigeons","Georgina Cates",-5743394,6.3
"Doctor Zhivago","Geraldine Chaplin",101036323,7.6
"The Ugly Truth","Gerard Butler",167298907,6.5
"Machine Gun Preacher","Gerard Butler",-26278012,6.5
"Inside Deep Throat","Gerard Damiano",-1308120,6.7
"Child's Play 2","Gerrit Graham",21166572,5.9
"Man on the Moon","Gerry Becker",-4592365,7.2
"School Daze","Giancarlo Esposito",8545844,6.5
"Nothing to Lose","Giancarlo Esposito",39594061,6.5
"Mo' Better Blues","Giancarlo Esposito",6153000,6.5
"Last Holiday","Giancarlo Esposito",-1656753,6.6
"I Think I Love My Wife","Gina Torres",-794589,5.2
Serenity,"Gina Torres",1319440,7.4
"Top Hat","Ginger Rogers",2593000,7.7
"Letters to Juliet","Giordano Formenti",52148538,6.9
"Flight of the Phoenix","Giovanni Ribisi",-40990820,5.9
"Sgt. Bilko","Glenne Headly",-1043411,5.7
Eulogy,"Glenne Headly",-9929473,6.3
"In the Land of Blood and Honey","Goran Kostic",-12490807,6.1
"Tiny Furniture","Grace Dunham",374149,5.9
"A View to a Kill","Grace Jones",122627960,6.2
"Dances with Wolves","Graham Greene",405200000,7.8
"Darkness Falls","Grant Piro",40289758,5.2
ATL,"Greg Andrews",4170563,6.8
"Teen Titans Go! To the Movies","Greg Cipes",41620593,7
"Sweet November","Greg Germann",25754228,6.6
"Son of God","Greg Hicks",48949793,6.4
"Ghost Town","Greg Kinnear",9958228,6.4
"Heaven is for Real","Greg Kinnear",88916299,6.3
Sabrina,"Greg Kinnear",29100000,6.2
"Hollywood Ending","Gregg Edelman",-1160617,6.5
Payback,"Gregg Henry",111626121,6.8
"Renaissance Man","Gregory Hines",-15827101,6.1
"Moby Dick","Gregory Peck",5900000,6.9
"Clay Pigeons","Gregory Sporleder",-5743394,6.3
"Damsels in Distress","Greta Gerwig",-1675701,5.5
Jackie,"Greta Gerwig",27588512,6.4
"Frances Ha","Greta Gerwig",8262769,7.4
Emma,"Greta Scacchi",31931658,6.8
"Man on the Moon","Greyson Erik Pendry",-4592365,7.2
"A Most Wanted Man","Grigoriy Dobrygin",21068890,6.5
"Instant Family","Gustavo Escobar",71736188,7.6
"The Mule","Gustavo Muñoz",120738684,6.5
"Rules of Engagement","Guy Pearce",11719931,6.1
"The Road","Guy Pearce",4206732,6.9
Lawless,"Guy Pearce",28393687,7
Emma,"Gwyneth Paltrow",31931658,6.8
"Inside Job","Gylfi Zoega",5799257,7.8
Kundun,"Gyurme Tethong",-22313306,7
"Birth of the Dragon","Hai Yu",-23779510,5.7
"The Haunting of Molly Hartley","Haley Bennett",10318257,4.3
"The Country Bears","Haley Joel Osment",-3011004,4.4
"The Sixth Sense","Haley Joel Osment",632806292,7.9
"Secondhand Lions","Haley Joel Osment",17902566,7.1
Columbus,"Haley Lu Richardson",410511,7.2
"Five Feet Apart","Haley Lu Richardson",79881234,8.2
"Cloud Atlas","Halle Berry",28673154,6.8
"Kevin Hart: What Now?","Halle Berry",13591043,6.6
"Executive Decision","Halle Berry",67079192,6.1
"The Lizzie McGuire Movie","Hallie Todd",40534455,6
Eulogy,"Hank Azaria",-9929473,6.3
"Agent Cody Banks 2: Destination London","Hannah Spearritt",2703083,5.1
"The Master of Disguise","Harold Gould",24363530,3.6
"The Best Man","Harold Perrineau",25572780,6.8
"Woman on Top","Harold Perrineau",2192613,5.5
Ghostbusters,"Harold Ramis",265212467,7.4
Sabrina,"Harrison Ford",29100000,6.2
"Clear and Present Danger","Harrison Ford",145500000,6.6
"Random Hearts","Harrison Ford",-800000,5.4
"The Fugitive","Harrison Ford",309715317,7.4
"Dolphin Tale","Harry Connick Jr.",59068724,6.8
"Hope Floats","Harry Connick Jr.",51529000,6.1
"Suspect Zero","Harry Lennix",-18287436,5.5
"Anywhere But Here","Hart Bochner",-4346385,6.2
"Paint Your Wagon","Harve Presnell",11678778,6.4
"Mrs. Doubtfire","Harvey Fierstein",416286003,7.1
Duplex,"Harvey Fierstein",-29929349,6.1
"The Last Temptation of Christ","Harvey Keitel",1373585,7.2
"The Border","Harvey Keitel",-7381317,6.4
"Blazing Saddles","Harvey Korman",116900000,7.3
"The Witch","Harvey Scrimshaw",36954520,6.6
Belly,"Hassan Johnson",6639390,6
"Cop Car","Hays Wellford",-4856342,5.8
"The Order","Heath Ledger",-23440253,5
"The Patriot","Heath Ledger",105300000,7
"Mad Hot Ballroom","Heather Berman",8887581,7.3
"The Blair Witch Project","Heather Donahue",247700000,6.2
"Lost in Space","Heather Graham",56047317,5.2
"A Nightmare on Elm Street 3: Dream Warriors","Heather Langenkamp",39793222,6.6
"Money Talks","Heather Locklear",16076865,5.9
Firestarter,"Heather Locklear",136870,6.1
"Hostel: Part II","Heather Matarazzo",26106409,5.7
"Nacho Libre","Héctor Jiménez",67296462,5.6
"The Book Thief","Heike Makatsch",57086711,7.5
"What Women Want","Helen Hunt",309105123,6.3
"Soul Surfer","Helen Hunt",29158652,7
"Howards End","Helena Bonham Carter",18317943,7.2
"The Matrix Revolutions","Helmut Bakaitis",277300260,6.6
"The Birth of a Nation","Henry B. Walthall",10890000,6.5
"War and Peace","Henry Fonda",6524028,6.7
Restless,"Henry Hopper",-5227489,6.4
"The Dead Zone","Herbert Lom",10766000,7
Crazy/Beautiful,"Herman Osorio",6929123,6.5
"The Lizzie McGuire Movie","Hilary Duff",40534455,6
"Million Dollar Baby","Hilary Swank",201928227,7.9
Insomnia,"Hilary Swank",67622499,6.9
"Bless the Child","Holliston Coleman",435694,5
"Little Black Book","Holly Hunter",-8241629,5.3
"Won't Back Down","Holly Hunter",-13254497,6.3
